video,codec,quality,bpp
BlueSpin,VPCC,r01,0.083710449
BlueSpin,VPCC,r02,0.109770367
BlueSpin,VPCC,r03,0.151761945
BlueSpin,VPCC,r04,0.360057482
BlueSpin,VPCC,r05,0.60364063
BlueSpin,GPCC_OCTREE,r03,0.079763724
BlueSpin,GPCC_OCTREE,r04,0.268951024
BlueSpin,GPCC_OCTREE,r05,0.641602009
BlueSpin,GPCC_TRISOUP,r01,0.058059356
BlueSpin,GPCC_TRISOUP,r02,0.126627725
BlueSpin,GPCC_TRISOUP,r03,0.284574101
BlueSpin,GPCC_TRISOUP,r04,0.641165388
CasualSquat,VPCC,r01,0.133518565
CasualSquat,VPCC,r02,0.208999557
CasualSquat,VPCC,r03,0.355191687
CasualSquat,VPCC,r04,1.040649689
CasualSquat,VPCC,r05,1.659514445
CasualSquat,GPCC_OCTREE,r03,0.116701223
CasualSquat,GPCC_OCTREE,r04,0.523711042
CasualSquat,GPCC_OCTREE,r05,1.540108775
CasualSquat,GPCC_TRISOUP,r01,0.249628765
CasualSquat,GPCC_TRISOUP,r02,0.602593177
CasualSquat,GPCC_TRISOUP,r03,1.283468874
CasualSquat,GPCC_TRISOUP,r04,2.524485106
FlowerDance,VPCC,r01,0.115539871
FlowerDance,VPCC,r02,0.184028911
FlowerDance,VPCC,r03,0.309266919
FlowerDance,VPCC,r04,0.989662657
FlowerDance,VPCC,r05,1.70734563
FlowerDance,GPCC_OCTREE,r03,0.104626893
FlowerDance,GPCC_OCTREE,r04,0.457520472
FlowerDance,GPCC_OCTREE,r05,1.328912429
FlowerDance,GPCC_TRISOUP,r01,0.160265074
FlowerDance,GPCC_TRISOUP,r02,0.424979945
FlowerDance,GPCC_TRISOUP,r03,1.010960376
FlowerDance,GPCC_TRISOUP,r04,2.11348067
ReadyForWinter,VPCC,r01,0.08159441
ReadyForWinter,VPCC,r02,0.106676784
ReadyForWinter,VPCC,r03,0.149128503
ReadyForWinter,VPCC,r04,0.385420657
ReadyForWinter,VPCC,r05,0.684533824
ReadyForWinter,GPCC_OCTREE,r03,0.078751093
ReadyForWinter,GPCC_OCTREE,r04,0.266270467
ReadyForWinter,GPCC_OCTREE,r05,0.675574299
ReadyForWinter,GPCC_TRISOUP,r01,0.050224855
ReadyForWinter,GPCC_TRISOUP,r02,0.115512268
ReadyForWinter,GPCC_TRISOUP,r03,0.302323572
ReadyForWinter,GPCC_TRISOUP,r04,0.717226055